stage,arm,complied,finished,rate_pct,ci_lo,ci_hi,answers_valid,items_finished
sft,none,49,80,61.25,47.5609756097561,74.07407407407408,207,251
sft,delimiter,19,29,65.51724137931035,48.275862068965516,82.75862068965517,24,29
sft,random,8,26,30.76923076923077,15.384615384615385,50.0,24,26
sft,steer2,1,26,3.8461538461538463,0.0,11.538461538461538,25,26
dpo,none,54,76,71.05263157894737,56.577517162471395,83.566352739726,224,240
dpo,delimiter,18,23,78.26086956521739,60.86956521739131,95.65217391304348,21,23
dpo,random,16,25,64.0,44.0,84.0,25,25
dpo,steer2,4,26,15.384615384615385,3.8461538461538463,30.76923076923077,26,26
rlvr,none,68,73,93.15068493150685,86.24652777777779,98.64864864864865,204,230
rlvr,delimiter,27,28,96.42857142857143,85.71428571428571,100.0,22,28
rlvr,random,18,23,78.26086956521739,60.86956521739131,95.65217391304348,20,23
rlvr,steer1,19,23,82.6086956521739,65.21739130434783,95.65217391304348,21,23
rlvr,steer2,9,26,34.61538461538461,19.13461538461539,53.84615384615385,25,26
rlvr,steer4,0,24,0.0,0.0,0.0,24,24
